playerid|player_performance_metric
12|624896.56625
11|867314.15125
12|555274.70125
11|618704.19125
11|622450.75875
12|776253.6275
12|715387.84
11|814025.61375
11|544258.73
12|673685.805
11|612873.0975
12|842323.1925
12|770504.65625
11|794934.50625
11|590585.55
11|653753.05875
12|859664.24875
11|601566.77
12|864159.91125
12|702254.25125
11|696414.8375
11|577121.285
12|563812.1075
11|574517.58375
11|778130.81875
12|828197.56125
12|643700.7887500001
11|850064.225
12|557855.095
11|706887.90125
12|631500.72375
11|814784.62
12|539516.64125
11|769427.52125
12|503147.68125
11|734516.2262500001
11|615373.76625
12|757460.7375
12|690980.99625
11|670798.275
11|506197.775
12|851112.73625
12|570734.7725
11|527530.67125
11|576883.8975
12|665634.08125
12|503814.6075
11|841295.0325
12|574030.56875
11|643813.77
11|526144.36625
12|622400.94625
12|579126.81625
11|658832.15625
12|501443.395
11|762701.26
11|762462.1775
12|831141.77
12|643069.5725
11|697488.805
11|527697.23125
12|749144.39625
11|652319.49875
12|748157.805
12|541796.095
11|606610.62125
12|501901.9325
11|842427.275
11|488441.30875
12|628200.21
12|676797.0225
12|737978.84
12|561383.21625
12|837148.8225
12|600148.485
12|571871.0125
12|523034.5675
12|715243.12875
12|565912.9875
12|536329.33875
12|595941.11875
12|653809.20625
8|190858.39625000002
9|136217.96875
10|537607.2025
7|861335.2775
8|812932.9
9|300809.375
7|725065.455
8|842296.1475000001
9|335723.4375
10|562881.895
7|666033.04125
8|1197451.7075
9|294013.28125
10|717189.48875
7|833674.995
8|810343.65
9|193805.46875
7|775837.575
10|802289.92125
8|479290.31875000003
9|277765.625
7|505828.41125
10|651822.605
8|632401.3300000001
9|213397.65625
7|648274.835
10|629266.56
8|1117930.45625
9|238584.375
7|835122.81
8|716764.77
9|251678.125
10|536846.78
7|601824.54625
8|183015.39250000002
9|357282.8125
7|643791.795
10|717142.27125
8|1132842.1675
9|104503.125
10|551314.2975
7|731724.3975
8|298487.23625
9|224975.0
7|545784.22
10|636118.5475
8|1096717.4712500002
9|327102.34375
7|581007.6775
10|689460.2725
8|418820.51625000004
9|119900.78125
7|563476.85875
10|689061.1225
8|264885.05500000005
9|306054.6875
7|572016.485
10|762367.6012500001
8|1031483.81125
9|132591.40625
10|677782.405
7|841647.6025
8|130006.45250000001
9|190646.09375
7|730734.69375
10|858803.37125
8|625595.81125
9|100944.53125
7|801361.92375
10|814153.1225
8|1068235.7825
9|331718.75
10|706974.38
7|771832.57375
8|341656.21375000005
9|114623.4375
7|649228.0725
10|662868.88875
8|162709.71625000003
9|371194.53125
7|584644.52625
10|672434.22375
8|964475.5000000001
9|261507.03125
10|541943.12875
7|806261.9862500001
8|797533.0650000001
9|176788.28125
10|498944.83625
7|756646.70875
8|145267.8175
9|377199.21875
10|695670.43125
7|762640.7025
8|520833.91500000004
9|321403.90625
10|621438.65
7|768871.765
8|982868.6037500001
9|230738.28125
10|681672.53
7|756969.5625
8|817654.035
9|231187.5
10|503560.48
7|782714.7825
8|780368.2725000001
9|100587.5
10|535542.17375
7|695122.9725
9|349382.8125
7|555011.96875
10|738460.86125
9|164830.46875
10|673984.31125
7|676344.9275
9|367339.84375
7|792178.07875
9|281882.03125
10|560051.62875
7|631278.455
9|257220.3125
7|590189.37
10|798190.1375
9|281217.96875
7|562039.87375
10|779056.74125
9|266611.71875
10|849726.24125
7|865202.36
9|218486.71875
10|560426.12
7|639565.01
7|584949.3825000001
10|664282.88125
7|831845.835
7|543547.39625
7|725666.485
13|445139.02125000005
5|307476.49000000005
13|541073.93125
6|212417.94
5|741962.0925
6|567272.40375
13|278509.8775
5|538540.9425
13|195108.34375000003
6|209242.8525
5|670754.285
13|794934.3962500001
6|427634.49625
5|581126.8512500001
6|174285.635
5|837011.83875
6|726371.83625
13|485231.50500000006
5|677435.2475
13|504913.11250000005
6|221787.86625000002
5|504471.4525
13|183597.845
6|1097529.82
5|677309.06375
13|222917.53875
6|712037.6950000001
5|568661.24125
6|716535.2775000001
13|430725.11500000005
5|574630.595
13|284654.53875
6|474361.335
5|520017.73875
6|382749.89875000005
13|824453.87375
5|734152.65875
6|839029.52375
13|319331.93625
5|494612.47
6|431964.9475
13|874443.7225
5|809406.145
6|148759.52375000002
13|713916.4975
5|641141.2625
6|904410.8187500001
13|265490.44125000003
5|575379.38875
6|643714.6112500001
13|1053949.5175
5|799666.01125
13|1115233.3925
6|395634.60125
5|502167.6125
13|190166.83875000002
5|734723.62
13|427126.35500000004
6|380211.04000000004
5|658438.3825000001
13|978782.3125000001
6|488005.19000000006
5|681567.03375
6|904506.6012500001
13|463586.06500000006
5|699896.8825000001
6|1019440.3700000001
13|181086.25375
5|691022.62625
13|310029.02375000005
6|1089215.13375
5|615022.8925
6|243576.67750000002
13|1028779.94625
5|703098.76875
6|1161870.8262500002
13|467627.65125000005
5|657375.83375
6|222132.13875
13|368052.42375
5|524513.6575
13|785980.08125
6|1094889.0975000001
5|721818.225
13|1098419.0350000001
6|835795.27375
5|821964.03625
13|268068.13
6|688351.2175
5|729036.9775
13|271023.4625
6|1124658.7825000002
5|634512.5387500001
13|291300.395
6|396003.29375
5|675654.34
6|784753.2400000001
5|712852.43125
6|360890.29000000004
5|674060.54125
6|438664.66125000006
5|779714.3175
6|738003.31
5|830440.1
6|946855.09125
5|611156.01125
6|603518.525
5|676183.76125
6|627936.70625
5|685241.66875
6|398999.76125000004
6|759446.4375000001
6|543246.06625
6|1176789.6
6|1139401.2650000001
6|860186.5275000001
2|1152123.6575000002
4|186960.58500000002
1|234110.15625
3|747471.78375
