record_id|dt_of_event|product_id|markup_percent|is_charged|is_delivered|rarity|product_price
1|07/13/18|3|1.24|No|1|3|72
2|07/13/18|3|0.36|Yes|1|3|72
3|07/23/18|6|1.24|Yes|1|2|56
4|07/11/18|2|0.25|No|1|2|52
5|07/12/18|2|1.24|Yes|1|2|52
6|07/18/18|2|0.36|Yes|0|2|52
7|07/15/18|6|0.36|No|1|2|56
8|07/28/18|1|0.36|Yes|1|1|34
9|07/12/18|5|0.75|Yes|0|3|29
10|07/21/18|5|0.75|Yes|1|3|29
11|07/25/18|3|1.24|No|0|3|72
12|07/10/18|2|0.25|No|0|2|52
13|07/13/18|6|0.36|No|1|2|56
14|07/28/18|3|1.24|No|1|3|72
15|07/28/18|4|0.25|Yes|1|1|31
16|07/23/18|1|0.36|No|0|1|34
17|07/11/18|6|0.25|Yes|0|2|56
18|07/04/18|6|0.25|Yes|0|2|56
19|07/18/18|6|1.24|Yes|0|2|56
20|07/27/18|6|0.25|Yes|1|2|56
21|07/16/18|1|1.24|No|0|1|34
22|07/24/18|5|0.75|Yes|0|3|29
23|07/02/18|3|0.75|No|0|3|72
24|07/17/18|1|1.24|No|1|1|34
25|07/27/18|1|0.36|No|1|1|34
26|07/15/18|1|0.36|No|1|1|34
27|07/26/18|1|1.24|No|0|1|34
28|07/19/18|4|1.24|Yes|1|1|31
29|07/11/18|4|1.24|Yes|1|1|31
30|07/27/18|1|1.24|No|0|1|34
31|07/17/18|6|1.24|Yes|1|2|56
32|07/10/18|5|0.25|No|0|3|29
33|07/15/18|3|0.25|Yes|1|3|72
34|07/26/18|2|0.36|No|1|2|52
35|07/14/18|2|0.25|Yes|0|2|52
36|07/30/18|5|0.25|Yes|0|3|29
37|07/20/18|6|0.36|Yes|0|2|56
38|07/20/18|2|1.24|No|1|2|52
39|07/07/18|6|1.24|No|1|2|56
40|07/02/18|5|0.25|Yes|1|3|29
41|07/17/18|6|1.24|No|1|2|56
42|07/27/18|4|0.25|No|1|1|31
43|07/14/18|3|0.75|No|1|3|72
44|07/19/18|4|1.24|Yes|0|1|31
45|07/20/18|5|1.24|Yes|0|3|29
46|07/17/18|3|0.25|Yes|0|3|72
47|07/21/18|2|0.36|Yes|1|2|52
48|07/24/18|2|1.24|Yes|0|2|52
49|07/10/18|2|1.24|Yes|0|2|52
50|07/20/18|6|0.25|Yes|1|2|56
51|07/01/18|2|0.75|Yes|0|2|52
52|07/20/18|5|1.24|Yes|0|3|29
53|07/04/18|6|0.36|Yes|0|2|56
54|07/30/18|6|1.24|No|1|2|56
55|07/22/18|6|1.24|Yes|1|2|56
56|07/27/18|2|0.25|Yes|1|2|52
57|07/17/18|5|0.25|Yes|0|3|29
58|07/16/18|3|0.36|Yes|0|3|72
59|07/15/18|5|0.75|Yes|1|3|29
60|07/18/18|3|1.24|No|0|3|72
61|07/10/18|6|0.25|No|0|2|56
62|07/09/18|2|0.25|No|1|2|52
63|07/18/18|1|0.36|Yes|0|1|34
64|07/27/18|3|0.75|No|1|3|72
65|07/26/18|5|1.24|No|1|3|29
66|07/05/18|1|1.24|No|0|1|34
67|07/15/18|1|0.75|No|0|1|34
68|07/22/18|3|0.25|Yes|0|3|72
69|07/31/18|5|0.25|No|0|3|29
70|07/11/18|1|0.75|No|0|1|34
71|07/19/18|5|0.36|No|0|3|29
72|07/19/18|3|0.75|No|0|3|72
73|07/06/18|1|0.75|Yes|0|1|34
74|07/17/18|6|0.25|No|1|2|56
75|07/22/18|1|0.36|No|1|1|34
76|07/11/18|5|0.75|No|1|3|29
77|07/12/18|3|0.25|No|1|3|72
78|07/14/18|5|0.36|No|0|3|29
79|07/13/18|4|0.25|Yes|1|1|31
80|07/02/18|2|0.75|Yes|0|2|52
81|07/31/18|5|1.24|Yes|0|3|29
82|07/21/18|4|1.24|Yes|1|1|31
83|07/27/18|1|0.25|Yes|1|1|34
84|07/17/18|1|1.24|No|0|1|34
85|07/08/18|6|1.24|No|1|2|56
86|07/06/18|4|0.75|Yes|1|1|31
87|07/23/18|1|0.25|Yes|1|1|34
88|07/13/18|6|0.75|Yes|1|2|56
89|07/04/18|1|0.75|No|1|1|34
90|07/09/18|3|0.36|No|1|3|72
91|07/29/18|5|0.36|No|1|3|29
92|07/21/18|2|0.75|No|1|2|52
93|07/14/18|5|0.25|Yes|0|3|29
94|07/14/18|6|0.75|No|0|2|56
95|07/28/18|4|0.36|No|0|1|31
96|07/27/18|1|0.25|No|1|1|34
97|07/05/18|5|0.36|No|0|3|29
98|07/31/18|2|0.25|Yes|0|2|52
99|07/05/18|4|0.25|Yes|1|1|31
100|07/12/18|4|0.25|Yes|0|1|31
101|07/09/18|2|0.75|No|1|2|52
102|07/01/18|5|0.36|No|1|3|29
103|07/18/18|2|1.24|No|1|2|52
104|07/02/18|6|1.24|Yes|1|2|56
105|07/28/18|2|1.24|Yes|1|2|52
106|07/28/18|4|0.25|No|0|1|31
107|07/01/18|3|0.75|Yes|1|3|72
108|07/03/18|1|1.24|No|1|1|34
109|07/14/18|3|0.75|Yes|0|3|72
110|07/06/18|1|0.36|Yes|0|1|34
111|07/14/18|6|1.24|No|1|2|56
112|07/23/18|2|0.36|No|0|2|52
113|07/06/18|2|0.36|No|1|2|52
114|07/25/18|5|0.75|No|0|3|29
115|07/15/18|1|1.24|Yes|1|1|34
116|07/25/18|1|0.36|No|1|1|34
117|07/26/18|6|0.36|No|1|2|56
118|07/16/18|1|0.36|No|1|1|34
119|07/28/18|2|0.36|No|0|2|52
120|07/20/18|6|1.24|Yes|0|2|56
121|07/19/18|4|0.75|No|0|1|31
122|07/02/18|5|0.25|Yes|0|3|29
123|07/03/18|1|0.75|No|0|1|34
124|07/25/18|5|1.24|No|0|3|29
125|07/30/18|4|0.36|No|1|1|31
126|07/05/18|6|1.24|Yes|1|2|56
127|07/08/18|6|1.24|Yes|0|2|56
128|07/23/18|4|0.36|No|0|1|31
129|07/13/18|3|0.36|No|1|3|72
130|07/17/18|1|0.75|Yes|1|1|34
131|07/31/18|3|1.24|Yes|0|3|72
132|07/06/18|2|0.25|Yes|1|2|52
133|07/19/18|5|0.36|No|0|3|29
134|07/23/18|1|0.25|No|0|1|34
135|07/29/18|1|0.25|No|1|1|34
136|07/24/18|5|1.24|No|0|3|29
137|07/13/18|5|0.25|No|0|3|29
138|07/20/18|1|0.36|No|0|1|34
139|07/31/18|1|0.25|Yes|0|1|34
