Table 1
State/Territory/Agency,District,School,City,Source Date,Source,Additional Info,Confirmed - Students,Confirmed - Staff,Confirmed - Undefined,Quarantined (Yes/No),Quarantine - Students,Quarantine - Staff,Quarantined - Undefined,Possible - Students,Possible - Staff,Possible - Undefined,Deaths - Students,Deaths - Staff
TEXAS,ABILENE ISD,COOPER H S,ABILENE,08/26/20,https://www.bigcountryhomepage.com/news/cooper-high-school-student-tests-positive-for-covid-19/,1 student tested positive for COVID.,1,,,,,,,,,,,
TEXAS,ABILENE ISD,MADISON MIDDLE,ABILENE,08/25/20,"https://www.bigcountryhomepage.com/news/aisd-student-3-district-employees-test-positive-for-covid-19/
https://www.newsbreak.com/texas/abilene/news/2047790636806/1st-case-of-covid-19-in-abilene-isd-since-start-of-school",1 student tested positive for COVID.,1,,,,,,,,,,,
TEXAS,ABILENE ISD,,ABILENE,08/25/20,https://www.bigcountryhomepage.com/news/aisd-student-3-district-employees-test-positive-for-covid-19/,3 staff members in the district tested positive for COVID.,,3,,,,,,,,,,
TEXAS,ALEDO ISD,ALEDO H S,ALEDO,09/10/20,https://www.aledoisd.org/Page/6609,Dashboard cases current as of 9/10/20.,1,,,,24,,,,,,,
TEXAS,ALEDO ISD,Aledo ISD Non-Instructional Facilities,ALEDO,09/10/20,https://www.aledoisd.org/Page/6609,Dashboard cases current as of 9/10/20.,,,,,1,,,,,,,
TEXAS,ALEDO ISD,ALEDO MIDDLE,ALEDO,09/10/20,https://www.aledoisd.org/Page/6609,Dashboard cases current as of 9/10/20.,,,,,1,5,,,,,,
TEXAS,ALEDO ISD,DON R DANIEL NINTH GRADE CAMPUS,ALEDO,09/10/20,https://www.aledoisd.org/Page/6609,Dashboard cases current as of 9/10/20.,,,,,,1,,,,,,
TEXAS,ALEDO ISD,MCANALLY INT,ALEDO,09/10/20,https://www.aledoisd.org/Page/6609,Dashboard cases current as of 9/10/20.,,,,,1,,,,,,,
TEXAS,ALEDO ISD,MCCALL EL,WILLOW PARK,09/10/20,https://www.aledoisd.org/Page/6609,Dashboard cases current as of 9/10/20.,2,2,,,,3,,,,,,
TEXAS,ALEDO ISD,STUARD EL,ALEDO,09/10/20,https://www.aledoisd.org/Page/6609,Dashboard cases current as of 9/10/20.,,,,,3,,,,,,,
TEXAS,ALEDO ISD,VANDAGRIFF EL,ALEDO,09/10/20,https://www.aledoisd.org/Page/6609,Dashboard cases current as of 9/10/20.,,,,,1,1,,,,,,
TEXAS,ALEDO ISD,WALSH EL,FORT WORTH,09/10/20,https://www.aledoisd.org/Page/6609,Dashboard cases current as of 9/10/20.,,,,,1,1,,,,,,
TEXAS,ALEDO ISD,,FORT WORTH,09/10/20,https://www.aledoisd.org/Page/6609,Aledo ISD PK-12 district dashboard. Notes cumulative cases for the District since 8/10/2020 and current cases for each school.,,,,,,,,,,,,
TEXAS,ALVIN ISD,ALVIN EL,ALVIN,09/02/20,"https://www.khou.com/mobile/article/news/health/coronavirus/alvin-isd-elementary-covid-19-coronavirus/285-41a74421-acd7-4873-a238-6ae272ec67bd
https://www.chron.com/neighborhood/pearland/news/article/2-Alvin-ISD-staff-members-test-positive-for-15534171.php",1 staff member tested positive for COVID.,,1,,,,,,,,,,
TEXAS,ALVIN ISD,DR RONALD E MCNAIR JH,ALVIN,09/02/20,"https://www.khou.com/mobile/article/news/health/coronavirus/alvin-isd-elementary-covid-19-coronavirus/285-41a74421-acd7-4873-a238-6ae272ec67bd
https://www.chron.com/neighborhood/pearland/news/article/2-Alvin-ISD-staff-members-test-positive-for-15534171.php",1 staff member tested positive for COVID.,,1,,,,,,,,,,
TEXAS,ALVORD ISD,ALVORD H S,ALVORD,09/04/20,https://www.wfaa.com/article/news/education/covid-19-coronavirus-cases-dallas-fort-worth-schools/287-6f175d53-b031-4219-8501-7de74e8c3f30,1 student tested positive for COVID.,1,,,,,,,,,,,
TEXAS,ALVORD ISD,ALVORD MIDDLE,ALVORD,08/28/20,https://www.wfaa.com/article/news/education/covid-19-coronavirus-cases-dallas-fort-worth-schools/287-6f175d53-b031-4219-8501-7de74e8c3f30,1 student tested positive for COVID.,1,,,,,,,,,,,
TEXAS,AMARILLO ISD,AMARILLO H S,AMARILLO,09/02/20,https://www.newschannel10.com/2020/09/02/aisd-confirms-covid-positive-cases-bowie-middle-school-amarillo-high-school/,1 person tested positive for COVID.,,,1,,,,,,,,,
TEXAS,AMARILLO ISD,BOWIE MIDDLE,AMARILLO,09/02/20,https://www.newschannel10.com/2020/09/02/aisd-confirms-covid-positive-cases-bowie-middle-school-amarillo-high-school/,1 person tested positive for COVID.,,,1,,,,,,,,,
TEXAS,ANSON ISD,ANSON EL,ANSON,08/25/20,https://www.bigcountryhomepage.com/health/coronavirus/4-staff-members-at-anson-isd-test-positive-for-covid-19/,2 staff members tested postivie for COVID.,,2,,,,,,,,,,
TEXAS,ANSON ISD,ANSON MIDDLE,ANSON,08/25/20,https://www.bigcountryhomepage.com/health/coronavirus/4-staff-members-at-anson-isd-test-positive-for-covid-19/,2 staff members tested positive for COVID before school started,,2,,,,,,,,,,
TEXAS,ARLINGTON ISD,MARTIN H S,ARLINGTON,06/16/20,https://www.fox4news.com/sports/arlington-martin-hs-suspends-football-workouts-after-player-tests-positive-for-covid-19,1 football player tested positvie for COVID-19 durng summer workouts,1,,,,,,,,,,,
TEXAS,AUSTIN ISD,,AUSTIN,08/10/20,https://www.kvue.com/article/news/investigations/defenders/covid19-schools-central-texas-school-districts-defenders/269-bd6d983d-ec71-406e-bf8c-4288ef7f82ff,51 staff members tested positive for COVID as of 8/10/20,,51,51,Yes,,698,,,,,,
TEXAS,AZLE ISD,AZLE EL,AZLE,08/31/20,https://www.wfaa.com/article/news/education/covid-19-coronavirus-cases-dallas-fort-worth-schools/287-6f175d53-b031-4219-8501-7de74e8c3f30,1 student tested positive for COVID.,1,,,,,,,,,,,
TEXAS,AZLE ISD,WALNUT CREEK EL,AZLE,08/31/20,https://www.wfaa.com/article/news/education/covid-19-coronavirus-cases-dallas-fort-worth-schools/287-6f175d53-b031-4219-8501-7de74e8c3f30,1 staff member tested positive for COVID.,,1,,,,,,,,,,
TEXAS,BARBERS HILL ISD,,MONT BELVIEU,08/18/20,https://www.khou.com/article/news/education/barbers-hill-isd-will-start-school-in-person-but-there-are-opponents/285-2b9b8faf-5cdd-4820-93bb-068efcec26ac,1 employee tested positive the week of 8/11. Unknown number of quarntines were put into place.,,1,,,,,,,,,,
TEXAS,BASTROP ISD,BASTROP H S,BASTROP,09/10/20,https://www.statesman.com/news/20200910/first-coronavirus-cases-reported-at-three-austin-area-school-districts,1 student tested positive for COVID.,1,,,,,,,,,,,
TEXAS,BASTROP ISD,BASTROP INT,BASTROP,09/10/20,https://www.statesman.com/news/20200910/first-coronavirus-cases-reported-at-three-austin-area-school-districts,1 student tested positive for COVID.,1,,,,,,,,,,,
TEXAS,BASTROP ISD,CEDAR CREEK EL,CEDAR CREEK,09/10/20,https://www.statesman.com/news/20200910/first-coronavirus-cases-reported-at-three-austin-area-school-districts,2 staff members tested positive for COVID.,,2,,,,,,,,,,
TEXAS,BASTROP ISD,,BASTROP,08/10/20,https://www.kvue.com/article/news/investigations/defenders/covid19-schools-central-texas-school-districts-defenders/269-bd6d983d-ec71-406e-bf8c-4288ef7f82ff,5 staff members tested positive for COVID as of 8/10/20.,,5,5,,,,,,,,,
TEXAS,BEEVILLE ISD,Admin,BEEVILLE,08/14/20,https://msg.schoolmessenger.com/m/getdocument.php?s=tTqpTYkkM2o&mal=75f46b559c84c43b723534b9df893b21675f6b0749c9211ebd60d2a3b94fbb83&p=,Superindendent tested positive for COVID,,1,,,,,,,,,,
TEXAS,BEEVILLE ISD,,BEEVILLE,08/09/20,"https://www.kristv.com/news/coronavirus/beeville-isd-suspends-all-student-activities
https://www.mysoutex.com/beeville_bee_picayune/news/sports/beeville-isd-suspends-all-student-activities-indefinitely/article_6af7b18a-dabd-11ea-9ba9-87e40ffa4779.html?fbclid=IwAR0QZM-4tlp_gW2Pr355DpFoE-CMaOWY_0p4R4Uir49flL9F0y_B6G-wzps#utm_campaign=blox&utm_source=facebook&utm_medium=social","Due to a ""few positive cases"" in the school district, the district suspended all student activities.",,,,,,,,,,,,
TEXAS,BEN BOLT-PALITO BLANCO ISD,,BEN BOLT,08/10/20,https://www.ksat.com/news/local/2020/08/10/south-texas-school-district-suspends-athletics-to-end-of-october-effectively-ending-football-season/,District suspends althetics and fine arts until October 30. No cases reported in district.,,,,,,,,,,,,
TEXAS,BIRDVILLE ISD,BIRDVILLE H S,HILLS,09/22/20,https://www.birdvilleschools.net/covid19dashboard,Birdville ISD disctrict dashboard. Cases current as of 9/21/20,2,,,,,,,,,,,
TEXAS,BIRDVILLE ISD,HALTOM H S,HALTOM CITY,09/15/20,https://www.facebook.com/photo.php?fbid=1318240568508119&set=a.151224795209708&type=3&theater,1 person tested positive for COVID.,,,1,,,,,,,,,
TEXAS,BIRDVILLE ISD,HALTOM H S,HALTOM CITY,09/22/20,https://www.birdvilleschools.net/covid19dashboard,Birdville ISD disctrict dashboard. Cases current as of 9/21/20,2,,,,,,,,,,,
TEXAS,BIRDVILLE ISD,JACK C BINION EL,RICHLAND HILLS,09/22/20,https://www.birdvilleschools.net/covid19dashboard,Birdville ISD disctrict dashboard. Cases current as of 9/21/20,1,,,,,,,,,,,
TEXAS,BIRDVILLE ISD,NORTH OAKS MIDDLE,HALTOM CITY,09/22/20,https://www.birdvilleschools.net/covid19dashboard,Birdville ISD disctrict dashboard. Cases current as of 9/21/20,1,,,,,,,,,,,
TEXAS,BIRDVILLE ISD,O H STOWE EL,HALTOM CITY,09/22/20,https://www.birdvilleschools.net/covid19dashboard,Birdville ISD disctrict dashboard. Cases current as of 9/21/20,1,,,,,,,,,,,
TEXAS,BIRDVILLE ISD,RICHLAND H S,NORTH RICHLAND HILLS,09/22/20,https://www.birdvilleschools.net/covid19dashboard,Birdville ISD disctrict dashboard. Cases current as of 9/21/20,1,,,,,,,,,,,
TEXAS,BIRDVILLE ISD,W A PORTER EL,HURST,09/22/20,https://www.birdvilleschools.net/covid19dashboard,Birdville ISD disctrict dashboard. Cases current as of 9/21/20,2,,,,,,,,,,,
TEXAS,BIRDVILLE ISD,WATAUGA EL,WATAUGA,09/22/20,https://www.birdvilleschools.net/covid19dashboard,Birdville ISD disctrict dashboard. Cases current as of 9/21/20,1,1,,,,,,,,,,
TEXAS,BIRDVILLE ISD,,HALTOM CITY,09/22/20,https://www.birdvilleschools.net/covid19dashboard,BISD has created a dashboard (“the Dashboard”) to provide BISD families information about active COVID-19 cases in the District. An “active case” is defined as an individual who has been in a school and test-confirmed to have COVID-19. Cases are updated each Monday by 4pm.,,,,,,,,,,,,
TEXAS,BOERNE ISD,BOERNE - SAMUEL V CHAMPION H S,BOERNE,08/14/20,https://www.ksat.com/news/local/2020/08/14/boerne-isd-confirms-first-positive-covid-19-case-since-start-of-in-person-learning/,1 student or staff tested positive for COVID,1,,,,,,,,,,,
TEXAS,BOERNE ISD,BOERNE - SAMUEL V CHAMPION H S,BOERNE,08/19/20,https://news4sanantonio.com/news/local/boerne-isd-confirms-another-positive-covid-19-case-nearly-30-exposures,2 staff cases and at least 30 possible exposures,,1,,,,,,,30,64,,
TEXAS,BOERNE ISD,BOERNE ALTER SCH,BOERNE,08/25/20,"https://www.mysanantonio.com/news/local/slideshow/Coronavirus-cases-in-San-Antonio-schools-North-206700.php
https://www.expressnews.com/news/education/article/Coronavirus-cases-in-San-Antonio-schools-Navarro-15489371.php",1 person tested positive for COVID,,,1,,,,,,,,,
TEXAS,BOERNE ISD,BOERNE H S,BOERNE,08/19/20,https://news4sanantonio.com/news/local/boerne-isd-confirms-another-positive-covid-19-case-nearly-30-exposures,2 staff cases and at least 30 possible exposures,,1,,,,,,,30,64,,
TEXAS,BOERNE ISD,Boerne Middle School,BOERNE,08/25/20,"https://www.mysanantonio.com/news/local/slideshow/Coronavirus-cases-in-San-Antonio-schools-North-206700.php
https://www.expressnews.com/news/education/article/Coronavirus-cases-in-San-Antonio-schools-Navarro-15489371.php",1 person tested positive for COVID,,,1,,,,,,,,,
TEXAS,BOERNE ISD,KENDALL EL,BOERNE,08/25/20,"https://www.mysanantonio.com/news/local/slideshow/Coronavirus-cases-in-San-Antonio-schools-North-206700.php
https://www.expressnews.com/news/education/article/Coronavirus-cases-in-San-Antonio-schools-Navarro-15489371.php",1 person tested positive for COVID,,,1,,,,,,,,,
TEXAS,Boerne ISD,,Boerne,08/19/20,https://news4sanantonio.com/news/local/boerne-isd-has-five-confirmed-covid-19-exposures-more-than-60-possible-exposures,At least 5 cases and 64 possibe exposures since school started on August 12.,,,5,,,,,,,64,,
TEXAS,Boerne ISD,,Boerne,08/28/20,https://www.boerneisd.net/backtoschool,Boerne ISK PK-12 district dashboard..Data includes active cases for staff and students combined. Updated every Friday,,,,,,,,,,,,
TEXAS,Boerne ISD,,Boerne,09/16/20,https://www.boerneisd.net/backtoschool,District dashboard. Data current as of 9/16.,,,5,,,,,,,88,,
TEXAS,BOLES ISD,BOLES H S,QUINLAN,08/20/20,https://www.heraldbanner.com/covid-19/boles-isd-school-in-person-classes-delayed-because-of-covid-positive-staff/article_3ae371f6-e269-11ea-ae66-f7ebbd90f420.html,11 teachers tested positive for COVID. All instruction was transitioned to online only until August 31,,11,,,,,,,,,,
TEXAS,BONHAM ISD,EVANS EL,BONHAM,08/24/20,https://www.bonhamisd.org/516394_3,1 student tested positive for COVID.,1,,,,,,,,,,,
TEXAS,BONHAM ISD,FINLEY-OATES EL,BONHAM,08/24/20,https://www.bonhamisd.org/516394_3,1 student tested positive for COVID.,1,,,,,,,,,,,
TEXAS,BONHAM ISD,RATHER L H,BONHAM,08/24/20,https://www.bonhamisd.org/516394_3,1 student tested positive for COVID.,1,,,,,,,,,,,
TEXAS,BORGER ISD,BORGER INT,BORGER,08/15/20,https://www.myhighplains.com/news/local-news/borger-intermediate-school-staff-members-test-positive-for-covid-19-remote-learning-encouraged/,2 staff members tested positive for COVID-19,,2,,,,,,,,,,
TEXAS,BORGER ISD,CROCKETT EL,BORGER,08/15/20,https://www.myhighplains.com/news/local-news/borger-intermediate-school-staff-members-test-positive-for-covid-19-remote-learning-encouraged/,2 staff members tested positive for COVID-19,,2,,,,,,,,,,
TEXAS,BRECKENRIDGE ISD,BRECKENRIDGE H S,BRECKENRIDGE,08/27/20,https://breckenridgetexan.com/2020/08/27/breckenridge-high-school-student-tests-positive-for-covid-19-district-now-requiring-masks-for-third-graders-and-older/,1 student tested positive for COVID. 35 students are in quarantine.,1,,,Yes,35,,,,,,,
TEXAS,BRECKENRIDGE ISD,BRECKENRIDGE H S,BRECKENRIDGE,09/02/20,"https://www.newsbreak.com/texas/breckenridge/news/2053316282620/2-new-covid-19-cases-at-breckenridge-high-school-3-total
https://ktxs.com/news/local/2-new-covid-19-cases-at-breckenridge-high-school-3-total",1 student and 1 staff member tested positive for COVID.,1,1,,,,,,,,,,
TEXAS,BROWNWOOD ISD,BROWNWOOD H S,BROWNWOOD,08/14/20,https://www.brownwoodisd.org/site/default.aspx?PageType=3&DomainID=1059&ModuleInstanceID=13&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=6885&PageID=2254,1 Student tested positive for COVID,1,,,,,,,,,,,
TEXAS,BROWNWOOD ISD,BROWNWOOD H S,BROWNWOOD,08/19/20,https://www.brownwoodisd.org/site/default.aspx?PageType=3&DomainID=1059&ModuleInstanceID=13&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=6893&PageID=2254,1 Student tested positive for COVID,1,,,,,,,,,,,
TEXAS,BROWNWOOD ISD,BROWNWOOD H S,BROWNWOOD,08/26/20,https://www.brownwoodisd.org/site/default.aspx?PageType=3&DomainID=1059&ModuleInstanceID=13&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=6924&PageID=2254,1 Student tested positive for COVID,1,,,,,,,,,,,
TEXAS,BROWNWOOD ISD,BROWNWOOD H S,BROWNWOOD,08/27/20,https://www.brownwoodisd.org/site/default.aspx?PageType=3&DomainID=1059&ModuleInstanceID=13&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=6941&PageID=2254,1 Student tested positive for COVID,1,,,,,,,,,,,
TEXAS,BROWNWOOD ISD,COGGIN INT,BROWNWOOD,08/12/20,https://www.brownwoodisd.org/site/default.aspx?PageType=3&DomainID=1059&ModuleInstanceID=13&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=6843&PageID=2254,1 staff member tested positive for COVID; those who may have been in contact with the staff member will be notified.,,1,,,,,,,,,,
TEXAS,BROWNWOOD ISD,COGGIN INT,BROWNWOOD,08/27/20,https://www.brownwoodisd.org/site/default.aspx?PageType=3&DomainID=1059&ModuleInstanceID=13&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=6941&PageID=2254,1 staff member tested positive for COVID,,1,,,,,,,,,,
TEXAS,BROWNWOOD ISD,EAST EL,BROWNWOOD,08/21/20,https://www.brownwoodisd.org/site/default.aspx?PageType=3&DomainID=1059&ModuleInstanceID=13&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=6901&PageID=2254,1 Student tested positive for COVID,1,,,,,,,,,,,
TEXAS,BROWNWOOD ISD,EAST EL,BROWNWOOD,08/23/20,https://www.brownwoodisd.org/site/default.aspx?PageType=3&DomainID=1059&ModuleInstanceID=13&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=6902&PageID=2254,1 staff member tested positive for COVID,,1,,,,,,,,,,
TEXAS,BROWNWOOD ISD,EAST EL,BROWNWOOD,08/24/20,https://www.brownwoodisd.org/site/default.aspx?PageType=3&DomainID=1059&ModuleInstanceID=13&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=6910&PageID=2254,1 Student tested positive for COVID,1,,,,,,,,,,,
TEXAS,BROWNWOOD ISD,NORTHWEST EL,BROWNWOOD,08/30/20,https://www.brownwoodisd.org/site/default.aspx?PageType=3&DomainID=1059&ModuleInstanceID=13&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=6944&PageID=2254,1 staff member tested positive for COVID,,1,,,,,,,,,,
