Price,Mileage,Liter,Doors
17314.10313,8221,3.1,4
17542.03608,9135,3.1,4
16218.84786,13196,3.1,4
14862.09387,24021,3.1,4
15295.01827,27325,3.1,4
21335.85248,10237,3.6,4
20538.08751,15066,3.6,4
20512.09409,16633,3.6,4
19924.15905,19800,3.6,4
19774.24907,23359,3.6,4
19344.16554,23765,3.6,4
21895.75878,16508,3.6,4
21273.06171,18908,3.6,4
21460.01395,19467,3.6,4
21183.12359,21394,3.6,4
20406.0995,22596,3.6,4
21058.13958,24469,3.6,4
19556.89932,25245,3.6,4
23447.68656,15755,3.8,4
23547.23944,16235,3.8,4
23016.00801,18147,3.8,4
22230.0275,22102,3.8,4
22625.07357,23612,3.8,4
21878.12,23237,3.8,4
23077.56591,23798,3.8,4
21698.01475,25489,3.8,4
21831.82292,25564,3.8,4
26831.19404,4695,3.8,4
26060.33535,9795,3.8,4
26781.81465,12052,3.8,4
26302.07428,13050,3.8,4
26190.27147,17335,3.8,4
25508.21096,17480,3.8,4
23348.01695,24027,3.8,4
39072.39205,31587,4.6,4
70755.46672,583,4.6,2
68566.18719,6420,4.6,2
69133.73172,7892,4.6,2
66374.30704,12021,4.6,2
65281.48124,15600,4.6,2
63913.11725,18200,4.6,2
60567.54909,23193,4.6,2
57154.44344,29260,4.6,2
55639.08765,31805,4.6,2
52001.99438,42691,4.6,2
12146.18803,10011,1.6,4
12163.82042,12101,1.6,4
11472.02276,19699,1.6,4
11017.16871,20100,1.6,4
11096.85727,20334,1.6,4
10386.04022,22225,1.6,4
11137.04565,22484,1.6,4
11045.10884,24568,1.6,4
10777.05254,27906,1.6,4
10921.94537,23119,1.6,4
11179.95357,23121,1.6,4
11394.8864,25107,1.6,4
11070.06064,25476,1.6,4
11013.87137,25746,1.6,4
11115.01364,30056,1.6,4
11918.45607,7278,1.6,4
12408.80615,10213,1.6,4
11302.90299,14627,1.6,4
11615.02102,19014,1.6,4
10805.13009,21013,1.6,4
11169.91839,22380,1.6,4
10770.10655,25065,1.6,4
10872.01393,25869,1.6,4
10921.94537,27776,1.6,4
9919.048185,34621,1.6,4
10813.34352,266,1.6,4
9041.906254,26191,1.6,4
8870.947316,32914,1.6,4
8768.998585,35299,1.6,4
13007.98418,7372,2.2,2
13041.874,13607,2.2,2
12045.9207,19136,2.2,2
12469.52758,19712,2.2,2
11539.84565,22405,2.2,2
11726.00297,23103,2.2,2
12207.87293,23512,2.2,2
11203.14611,27364,2.2,2
10788.97036,31436,2.2,2
11149.6183,34447,2.2,2
14584.44812,1160,2.2,2
13681.698,10210,2.2,2
13446.21342,17741,2.2,2
12327.64161,19347,2.2,2
12274.95758,19612,2.2,2
12630.77503,22571,2.2,2
12425.38917,22771,2.2,2
12319.69625,24568,2.2,2
12549.89233,25816,2.2,2
12234.88805,30297,2.2,2
14894.98259,2464,2.2,4
14198.09246,11322,2.2,4
14678.10533,11488,2.2,4
13167.70232,14630,2.2,4
13471.00508,18910,2.2,4
12573.89994,25048,2.2,4
