"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"amaz",-0.00171616996154279,0.0380527859560532,-0.0422828817346799,0.0340017734712025,-0.0184767169533783,0.00751793541113309,-0.00518187407101807,-0.00477907693359086,-0.0112507630492011,0.0212291398604357
"compar",-0.00192270278969574,0.0438647576266845,-0.0345114060058409,0.028735923260578,-0.013355490888068,0.00323559640059678,-0.0149264790933202,-0.00402056436247805,-0.0120482634585362,-0.00101678547526487
"dont",-0.00275666642778878,0.0412841185782512,-0.0422000591859182,0.159794653851236,-0.00171234174616359,0.0104118376521165,-0.0446840442564163,0.00485594849301142,-0.0443801086252844,9.21359311182314e-05
"game",-0.00666869396203144,0.195499743856167,-2.33576260190316,-0.280741940319888,0.0218481323407402,-0.0121990502145479,0.0520703663144471,-0.0213358603917775,0.0403373739314969,-0.0122316478166244
"hulu",-0.00269706708436753,0.0468981031433636,-0.0500821825596674,0.0760982258168292,-0.00606750630329438,-0.00201561406565296,-0.0298287531995694,-0.00736916201662123,-0.0368709774522126,0.00828150312293528
"just",-0.0033828470532664,0.046036694507155,-0.0558411811063255,0.246909769569485,-0.00517266348217238,0.00695902799877643,-0.0595701974939013,0.0428526384784426,-0.0809327594632341,0.00218937127525849
"lot",-0.135470572616238,0.160298423410045,-0.0481523812906199,0.0706199474537456,0.0351103820847099,-0.0131889952985033,-0.0152925033847456,0.0339159082529074,-0.0590973556189179,0.0574700696815357
"movi",-0.216710249233647,3.73764590148206,0.329175778706195,-0.312430228870837,-0.0143834920024011,-0.0252477397890002,0.0766829273539761,0.194436350517789,-0.0322391540785334,0.270501763707568
"much",-0.00151522335380812,0.0349928314334214,-0.045347396927082,0.0959074965576388,-0.00856900043946116,0.00754321545422368,-0.0352709936573847,0.0257285950801242,-0.0446511404474039,-0.00105315931143637
"netflix",-0.00420931984552031,0.0677842129779769,-0.0534905492795929,0.142243079800866,0.010208836916556,0.00354896048426048,-0.0600662688058801,-0.0535854375485608,-0.0373400608903569,-0.0268935967623455
"origin",-0.00149178519954116,0.0329985279956604,-0.0366262186985809,0.0219836180236331,-0.0123071619346097,0.00157325731523443,-0.0141127576524144,0.00748548665125019,-0.0111040505650643,0.00378970742315462
"simpli",-0.00146729852248802,0.0348507203430951,-0.0384230942318313,0.0133842089201297,-0.0146150080291502,0.00189610748524546,-0.0115641330588004,0.00981270229059023,-0.00687108201562656,0.00705298026277565
"star",-0.00184899915033118,0.0320457385632882,-0.0443683412247837,0.138660216612603,-0.0293041411111418,-0.0735469900228283,-0.0335208759413379,0.0263569800635284,-0.0554482948603948,0.00430728739420136
"stuff",-0.001305376072778,0.0322710356115228,-0.0384147635933933,0.0629057585188225,-0.0113943688764198,0.00566874013437044,-0.0332116235229289,0.0227982649961804,-0.0295414588832059,-0.000369053871083679
"throne",-0.00328100094872518,0.149168278889259,-1.76317370355785,-0.230070424039997,-0.926643830181204,0.169889188501846,-0.189990650262717,0.0312358078749798,-0.00407684497188181,-1.05038944182398e-06
"crash",-0.00605392465991989,0.0349133957198054,-0.0233023657667379,0.274876997603448,0.0168728934863745,0.0342627846387836,-0.137619492387496,-0.259258113553165,-0.00558267051731046,0.121038686816467
"didnt",-0.00382848175876429,0.0317995457206598,-0.016759966303319,0.157144226061462,0.00207103241562257,0.00141936763859629,-0.0361748501029427,0.00903611794237735,-0.0695593684555818,0.0377884419543897
"everi",-0.00341452323323011,0.0214679089621968,-0.0152782353479786,0.135949513586334,0.0124065693216941,0.00795291813765954,-0.0462072464034341,-0.00680183058267096,-0.0686892652039686,0.0293597825544407
"love",-0.1369807825274,0.140359619597336,-0.0296145864389766,0.224309993393664,0.0620049014461075,0.00894783686923793,-0.0860825782924977,-0.00159526889383086,-0.170378970319666,0.100993963298764
"movieshow",-0.00444521041665836,0.0145300818207144,-0.00769007583979247,0.089032418846756,0.0151988984904556,0.00741108155837038,-0.0432630809414806,-0.0230413659257426,-0.0654583101775332,0.0487913858844598
"time",-0.00382626641409749,0.0318628888244934,-0.0247854582737023,0.207486767753549,0.018942634097389,0.0125397892897215,-0.0645053479187543,0.0017140687720099,-0.0326753938335015,0.0330946566794641
"watch",-0.00500330220486545,0.0450705972535702,-0.110936844106893,0.500831090722395,0.068410300584166,0.0439197923949091,-0.184760675918245,0.143493341780189,-0.415382785773342,0.0308176068247082
"account",-0.00230607050613602,0.0299311395438439,-0.0342774135891866,0.242011930953904,0.0143713349326305,0.00995383328344148,-0.0875007340277141,0.0534487667196855,-0.0574065104340939,-0.00422961910355834
"cant",-0.00144385625756473,0.014580165836039,-0.0316827127807834,0.192533850105883,0.0030182822614022,0.00740938807595607,-0.0691236587600913,0.0403479006707804,-0.0647941248677857,-0.00878173267277152
"complet",-0.000476462252469947,0.00403716840184093,-0.00852132472379766,0.0465365722190126,0.00184573540992089,0.00583685754035482,-0.00489404647815977,-0.00759763688398102,-0.000411246530539989,0.00942850069984489
"confirm",-0.000214023530275145,0.00255177178621889,-0.00424296033469171,0.0374141278965519,0.000362307855063188,0.00229959319917972,-0.0120869512327457,0.00527437536896856,-0.00343089081342439,0.00340646727719771
"enter",-0.000387090995032446,0.00291604812544225,-0.00526173600699467,0.0465013328021653,0.0011323260072173,0.00323397333117106,-0.0179206713872084,0.0125755922357072,-0.00657496144297892,-0.00175119399889651
"error",-0.000934731497716651,0.0100428748526109,-0.0126299443030842,0.102597003600375,0.00233574977628161,0.00992675042745529,-0.0261143704392688,0.00948778847550177,-0.0319179884682209,0.000603316193676519
"even",-0.00192741782597561,0.0214652852316596,-0.0474106616701558,0.264189377002389,0.0149095029623367,0.00833218941382643,-0.0836327862425773,0.0766382042214441,-0.0243682342805117,0.00704258600851653
"first",-0.000829052521306789,0.01222125705338,-0.0107099809350803,0.078525131376216,-0.00211530641641896,-0.000298218641360564,-0.0251020679569855,0.00558152730713767,-0.01382545515359,0.00235640004000789
"forgo",-0.00012035026213964,0.000951534071095495,-0.00169365220644596,0.0170323600249194,0.000122137272157256,0.00199171749982997,-0.00345095063452868,0.00638160477245264,0.00235748176528393,-2.17834526092518e-05
"free",-0.00280724436032349,0.0348193756865157,-0.046657807968543,0.36720848885382,0.0110900726824303,0.0126373174178606,-0.121147859343893,0.104026760196957,-0.0957092626208832,0.00253729442543088
"get",-0.029060268346846,0.0360983429010628,-0.0491477222391499,0.280283643845742,0.0242380282804767,0.0219317619769846,-0.0849229334237381,-0.0664392454888366,-0.0430052775591488,-0.0133750151811822
"googl",-0.00419074394509293,0.0390905541901918,-0.0425764460951771,0.357628375013933,0.0379815100464239,0.0158254552354677,-0.162620574728765,0.0889349022227578,-0.100128985735121,-0.0106441535475414
"got",-0.00300673488964964,0.0316250140665389,-0.0340388158210313,0.308737958120695,0.0231301472039151,0.025654835719382,-0.105329790109695,0.0694453297079139,-0.187969055964535,-0.00722284215743865
"info",-0.000768599188758808,0.00637756805015045,-0.0128968985928397,0.111080323459687,0.00267768970064,0.0064029329240716,-0.052675264112806,0.0321600059030411,-0.0438642508160827,-0.00566793221564791
"isnt",-0.000858955278176,0.00773491774833981,-0.0190884206388961,0.0855135131350113,0.00948088974017495,0.00215311475182572,-0.0263552312063826,0.0209270246945845,-0.0234617142663764,0.000160699819534203
