"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","doesnt","show","get","just","subscript","subscrib","free","will","back","work"
"2","issu","time","fix","use","renew","servic","trial","like","watch","sign"
"3","got","googl","log","throne","say","work","keep","watch","even","account"
"4","great","still","just","game","ask","though","watch","play","need","tri"
"5","stream","chromecast","cant","anyth","tri","alreadi","wont","sound","take","dont"
"6","one","thing","custom","login","screen","way","anyth","freez","phone","play"
"7","pay","movi","issu","minut","googl","good","email","speed","want","tell"
"8","star","creat","play","love","want","everi","start","can","realli","loop"
"9","new","netflix","video","give","loop","cant","let","find","abl","googl"
"10","access","love","time","instead","problem","open","day","show","log","well"
