ID,Age,Height,Weight,Year
1,24,180,80,1992
2,23,170,60,2012
5,21,185,82,1988
5,21,185,82,1988
5,25,185,82,1992
5,25,185,82,1992
5,27,185,82,1994
5,27,185,82,1994
6,31,188,75,1992
6,31,188,75,1992
6,31,188,75,1992
6,31,188,75,1992
6,33,188,75,1994
6,33,188,75,1994
6,33,188,75,1994
6,33,188,75,1994
7,31,183,72,1992
7,31,183,72,1992
7,31,183,72,1992
7,31,183,72,1992
7,33,183,72,1994
7,33,183,72,1994
7,33,183,72,1994
7,33,183,72,1994
9,26,186,96,2002
11,22,182,76.5,1980
12,31,172,70,2000
